r0_learner_name,bias_func,bias_scale,n_real,n_expanded,r_expanded,coverage,avg_me
kernel,NNBias1,0,100,1000,0.01,0.38862,26.507605690859293
kernel,NNBias1,0,100,1000,0.001,0.38862,26.50760364263133
kernel,NNBias1,0,100,1000,0.1,0.38848,26.507810507331275
kernel,NNBias1,1,100,1000,0.001,0.37066,27.789902360936154
kernel,NNBias1,1,100,1000,0.01,0.37068,27.789904317027183
kernel,NNBias1,10,100,1000,0.001,0.40256,85.91961189773299
kernel,NNBias1,10,100,1000,0.1,0.40264,85.91967876289534
kernel,NNBias1,10,100,1000,0.01,0.40256,85.91961255978221
kernel,NNBias2,1,100,1000,0.001,0.34044,34.894068579131826
kernel,NNBias1,1,100,1000,0.1,0.37056,27.790099920159125
kernel,NNBias2,10,100,1000,0.01,0.21852,222.48391818564286
kernel,NNBias2,0,100,1000,0.001,0.38862,26.50760364263133
kernel,NNBias2,10,100,1000,0.001,0.21852,222.48391791018267
kernel,NNBias2,1,100,1000,0.1,0.34048,34.89422940572692
kernel,NNBias2,0,100,1000,0.01,0.38862,26.507605690859293
kernel,NNBias2,1,100,1000,0.01,0.34044,34.894070171520745
kernel,NNBias2,10,100,1000,0.1,0.21848,222.48394573092492
kernel,NNBias2,0,100,1000,0.1,0.38848,26.507810507331275
kernel,NNBias1,1,1000,1000,0.001,0.16468,8.867247040265879
kernel,NNBias1,0,1000,1000,0.001,0.10334,8.457601597847294
kernel,NNBias1,0,1000,1000,0.1,0.10352,8.458246475056574
kernel,NNBias1,1,1000,1000,0.1,0.16488,8.867862971889917
kernel,NNBias1,10,1000,1000,0.1,0.09536,27.36977284890822
kernel,NNBias1,0,100,10000,0.001,0.38862,26.507603624012887
kernel,NNBias1,10,1000,1000,0.001,0.09532,27.369563994705974
kernel,NNBias1,10,1000,1000,0.01,0.09532,27.369566062633954
kernel,NNBias1,1,100,10000,0.1,0.37058,27.78992211658355
kernel,NNBias1,1,1000,1000,0.01,0.1647,8.867253138979562
kernel,NNBias1,1,100,10000,0.01,0.37066,27.78990253893711
kernel,NNBias1,1,100,10000,0.001,0.37066,27.789902343155244
kernel,NNBias1,0,1000,1000,0.01,0.10336,8.457607983189932
kernel,NNBias1,10,100,10000,0.001,0.40256,85.91961189171491
kernel,NNBias1,10,100,10000,0.01,0.40256,85.91961195797424
kernel,NNBias1,0,100,10000,0.1,0.38858,26.50762432876557
kernel,NNBias1,0,100,10000,0.01,0.3886,26.50760382901605
kernel,NNBias1,10,100,10000,0.1,0.40256,85.91961858372646
kernel,NNBias2,0,1000,1000,0.01,0.10336,8.457607983189932
kernel,NNBias2,1,1000,1000,0.001,0.12746,11.131488340640473
kernel,NNBias2,0,100,10000,0.01,0.3886,26.50760382901605
kernel,NNBias2,1,1000,1000,0.1,0.12752,11.13198994238707
kernel,NNBias2,0,1000,1000,0.1,0.10352,8.458246475056574
kernel,NNBias2,1,1000,1000,0.01,0.12746,11.131493307251255
kernel,NNBias2,0,100,10000,0.001,0.38862,26.507603624012887
kernel,NNBias2,0,100,10000,0.1,0.38858,26.50762432876557
kernel,NNBias2,1,100,10000,0.1,0.34046,34.89408466103859
kernel,NNBias2,1,100,10000,0.001,0.34044,34.894068564656926
kernel,NNBias2,1,100,10000,0.01,0.34044,34.89406872403138
kernel,NNBias2,0,1000,1000,0.001,0.10334,8.457601597847294
kernel,NNBias2,10,100,10000,0.001,0.21852,222.48391790767866
kernel,NNBias1,10,1000,10000,0.01,0.09532,27.369564182863673
kernel,NNBias1,1,1000,10000,0.001,0.16468,8.86724698482821
kernel,NNBias1,1,1000,10000,0.1,0.16478,8.867308632115996
kernel,NNBias1,10,1000,10000,0.001,0.09532,27.369563975908267
kernel,NNBias1,10,1000,10000,0.1,0.09534,27.36958487783146
kernel,NNBias1,1,1000,10000,0.01,0.16468,8.867247595216016
